code,name,unit_amount,price,maker,release_day
AHL204,極上ジャム,550g,820, アネモネ食品 株式会社,平成20年06月
FSW205,オリジナルウーロン茶,450ml,"1,130",株式会社 キリマンジャロ化学,平成17年01月
CQX206,天然コーヒー牛乳,1000ml,"1,020", 株式会社 エピケミカル,平成13年06月
NOP207,エクストラお酢,1050ml,"1,690",リスクモンス化学 株式会社,平成17年08月
OQU208,純正塩,750g,520, 株式会社 柳食品工業,平成16年11月
PSV209,奇跡のガーリック,1150g,"1,690",大井乳業 株式会社,平成14年12月
QUW210,大自然のお茶,800ml,"1,330",株式会社 キリマンジャロ水産,平成17年01月
NWY211,からだにやさしいコーヒー,750ml,"1,640",株式会社 ココパラディソ食品工業,平成20年04月
AHX212,健康抹茶,650ml,"1,780", 株式会社 みたに・きはら化学工業,平成19年07月
GNS213,健やか紅茶,850ml,"1,000",株式会社 大津乳業,平成16年06月
KLW214,ヘルシーオリーブオイル,900ml,500,かりの産業 株式会社,平成22年10月
PQY215,料理用ミネラルウォーター,350ml,"1,310",三谷・みたに食品工業 株式会社,平成13年03月
EMY216,今までなかった牛乳,1050ml,490,パアエアリ水産 株式会社,平成22年01月
HQT217,熟成粉チーズ,500g,510, ランディーニフード 株式会社,平成22年06月
CKL218,高級チーズ,400g,980,株式会社 コニカルレッドケミカル,平成12年11月
BNV219,極旨スライスチーズ,750g,960,アヤメケミカル 株式会社,平成13年12月
DFM220,からだよろこぶ緑茶,850ml,890, キリマンジャロ食品工業 株式会社,平成21年09月
GQW221,デリシャスマーガリン,300g,490,北沢乳業 株式会社,平成14年08月
DNR222,大自然がくれたコーヒー牛乳,1100ml,510,株式会社 やなぎバイオ,平成20年05月
PTW223,ミルキー抹茶,300ml,520,パン・ド・ドウ・リーブル食品工業 株式会社,平成14年07月
CQX224,みんなのチョコレート,400g,410,ルシック・ルレーブ化学 株式会社,平成14年11月
GPQ225,最高級バター,900g,"1,290",株式会社 ココグランド製糖,平成15年05月
BET226,フレッシュオリーブオイル,750ml,"1,710",株式会社 アブラナ乳業,平成14年01月
KOZ227,徳用牛乳,300ml,530, 株式会社 ジー・エフ産業,平成18年09月
FVX228,ミルキー緑茶,900ml,"1,320", アツモリソウ・アネモネ化学 株式会社,平成19年01月
PWX229,デリシャスミネラルウォーター,750ml,750,ランディーニ化学工業 株式会社,平成13年05月
JMW230,デリシャス粉チーズ,400g,610,株式会社 ランディーニフード,平成19年02月
FRX231,最高級チーズ,1050g,"1,650",株式会社 アブラナフード,平成15年10月
DKO232,最高級牛乳,400ml,560,株式会社 レイクミシガン乳業,平成13年09月
DSV233,からだにやさしいウーロン茶,700ml,500,大井水産 株式会社,平成14年04月
CHL234,健康ミネラルウォーター,650ml,"1,780", ココアバンティ水産 株式会社,平成21年05月
FQT235,デラックスガーリック,550g,"1,350",クーペ化学工業 株式会社,平成20年12月
CMQ236,大自然がくれたスライスチーズ,600g,"1,800",株式会社 デルフィニウム・レッドキャロラインケミカル,平成12年05月
AMV237,デリシャススライスチーズ,1150g,"1,540",ココパラディソ水産 株式会社,平成22年06月
MQY238,料理用お酢,1200ml,"1,290", 株式会社 ヤナギ乳業,平成17年05月
MSX239,ヘルシーチョコレート,900g,840, 株式会社 アブラナ食品工業,平成16年11月
ELQ240,フレッシュコーヒー牛乳,650ml,"1,020", ライトシスボトリング 株式会社,平成16年03月
OTW241,純正豆乳,550ml,"1,420",株式会社 島産業,平成21年05月
AKP242,エクストラコーヒー,600ml,"1,320",株式会社 エピフード,平成22年03月
GXY243,熟成コーヒー牛乳,850ml,730,アブラナ化学 株式会社,平成18年10月
EFR244,デラックス粉チーズ,350g,"1,000",リスクモンス水産 株式会社,平成15年08月
ABC245,みんなの抹茶,1100ml,"1,430",株式会社 パン・ド・ドウ・リーブルケミカル,平成13年05月
DKX246,熟成塩,350g,"1,580",株式会社 大井乳業,平成19年12月
EPX247,ヘルシーミネラルウォーター,1100ml,"1,030",ルーセントケミカル 株式会社,平成21年03月
HKR248,奇跡の豆乳,300ml,690, 株式会社 三谷・みたに化学工業,平成19年02月
EQV249,おいしいお酢,300ml,320,狩野フード 株式会社,平成12年03月
KMX250,熟成ガーリック,850g,"1,690",レッドキャロライン・グリーンコンドル食品 株式会社,平成19年02月
FMN251,ミルキー粉チーズ,450g,330,キリマンジャロフード 株式会社,平成20年12月
LQT252,純正ジャム,900g,970,株式会社 柳フード,平成22年10月
MUZ253,極上チョコレート,650g,"1,030",バタール産業 株式会社,平成14年06月
PRX254,プレミアムミネラルウォーター,1100ml,"1,480", 株式会社 みやじ食品工業,平成22年10月
AGV255,エクストラチョコレート,950g,"1,640",株式会社 アツモリソウ食品工業,平成13年01月
FJT256,からだにやさしい緑茶,950ml,660,ブラックエンペラー・ミスマルコ・ユードクシア化学工業 株式会社,平成13年05月
FOT257,ミルキーコーヒー,650ml,"1,630", 株式会社 あじさい食品化工,平成18年11月
DJN258,極旨抹茶,1200ml,840,株式会社 ジー・エフ食品工業,平成14年10月
BJP259,料理用スライスチーズ,1050g,530,株式会社 クーペ食品,平成15年11月
EGK260,極旨コーヒー牛乳,1150ml,600, 株式会社 大井化学,平成18年07月
CEJ261,オリジナル牛乳,850ml,"1,330",株式会社 三谷・きはら食品,平成17年08月
FIT262,からだにやさしいマーガリン,550g,"1,640", 株式会社 おおい水産,平成20年10月
DNS263,大自然のマーガリン,700g,"1,060",株式会社 リスクモンスフード,平成22年07月
HKS264,天然抹茶,700ml,"1,150",株式会社 ヴィンソン・マシフケミカル,平成22年01月
EMY265,ヘルシージャム,850g,520, 株式会社 かわいフード,平成12年09月
BGJ266,大自然がくれたお酢,850ml,"1,760", ヤナギ乳業 株式会社,平成15年06月
EMU267,最高級牛乳,350ml,"1,710",株式会社 キリマンジャロ水産,平成12年10月
DOU268,みんなのオリーブオイル,900ml,780,狩野ボトリング 株式会社,平成22年10月
CDV269,エクストラオリーブオイル,800ml,920, エルブルース食品 株式会社,平成14年12月
QRU270,健康塩,1050g,"1,310",クーペフード 株式会社,平成14年03月
ERX271,オリジナル粉チーズ,850g,"1,160",株式会社 パン・ド・ドウ・リーブル食品工業,平成22年09月
EKT272,料理用ジャム,700g,580,株式会社 かりのケミカル,平成16年02月
BRX273,からだよろこぶ抹茶,450ml,"1,230",株式会社 グリーンコンドルサイエンス,平成12年03月
AIL274,ミルキーバター,750g,480,ミスマルコ・ユードクシアケミカル 株式会社,平成22年06月
VXY275,最高級コーヒー,1200ml,"1,300",ヤナギフード 株式会社,平成16年10月
FXZ276,フレッシュチーズ,300g,720,株式会社 狩野バイオ,平成12年07月
ESV277,エクストラ牛乳,800ml,620, 株式会社 川合化学,平成22年07月
ASV278,高級豆乳,650ml,"1,210",株式会社 ライトシス冷凍食品,平成17年07月
HKY279,天然緑茶,1100ml,310,株式会社 ゴールデンピンク乳業,平成17年01月
AHS280,エクストラジャム,500g,540,アネモネ製糖 株式会社,平成21年03月
IXY281,おいしいミネラルウォーター,1150ml,880,アヤメ乳業 株式会社,平成21年01月
HMS282,おいしいバター,500g,"1,380",株式会社 ブール・ミシュ乳業,平成22年09月
FQW283,みんなのマーガリン,450g,610,エピ乳業 株式会社,平成19年12月
CMO284,奇跡のガーリック,600g,"1,410",アマリリスケミカル 株式会社,平成15年09月
DGV285,オリジナルお酢,1200ml,940, 株式会社 しま水産,平成17年10月
FIN286,奇跡のお茶,900ml,590,河本・やなぎ食品工業 株式会社,平成19年04月
DGQ287,エクストラ牛乳,600ml,"1,510", 株式会社 柳ケミカル,平成21年02月
GMO288,高級抹茶,450ml,"1,410",株式会社 ランディーニ化学,平成15年02月
ACX289,オリジナル塩,700g,"1,630", 株式会社 進藤食品工業,平成19年05月
KSY290,フレッシュ抹茶,1200ml,"1,680",川合ケミカル 株式会社,平成15年09月
BLZ291,高級塩,800g,790, 株式会社 柳水産,平成20年01月
SVY292,デラックスチョコレート,1050g,460, リド・リベラ乳業 株式会社,平成16年12月
CLR293,最高級ジャム,1100g,590,ランディーニ化学 株式会社,平成18年09月
AMZ294,デリシャスオリーブオイル,900ml,660, 株式会社 ヴィンソン・マシフ食品工業,平成13年02月
CDE295,おいしいコーヒー,600ml,470,株式会社 柳食品工業,平成16年06月
ABG296,ヘルシー豆乳,850ml,"1,360",ヴィンソン・マシフ水産 株式会社,平成19年12月
BLX297,最高級粉チーズ,600g,"1,580",あじさい化学 株式会社,平成20年07月
GLT298,デラックスチョコレート,1150g,"1,670",株式会社 ベラドンナ・マーカンティ乳業,平成20年06月
MNT299,健やかコーヒー牛乳,500ml,"1,420",株式会社 ルシック・ルレーブ乳業,平成21年02月
LRZ300,極旨お茶,1200ml,630,株式会社 リド・リベラ製糖,平成14年02月
